customer_id,customer_name,customer_phone,customer_cc,customer_lon,customer_lat
1,Abraham Schmitt,(206)409-6430,4543477040058,-122.442472,37.768135
2,Jeffrey Grady,731.014.5550x6064,54458103127896693,-122.43794,37.753682
3,Thomas Okuneva DDS,(753)641-7332x4933,210069694417444328,-122.405073,37.760548
4,Calvin Schmitt Jr.,313.450.1447x3368,52266678818211296,-122.402856,37.763485
5,Kaeden Haley,+91(1)5042505803,6011428592008811531,-122.445388,37.733078
6,Jelani Bartell,716-672-8558x649,3096084784043184611,-122.413045,37.782786
7,Lavelle Rohan DDS,622-040-2856x864,210013883882307527,-122.445579,37.754273
8,Brady Morissette,01898540493,4034961718828547,-122.443456,37.765612
9,Auther Casper,260-850-0243x95714,3730241588519607,-122.481985,37.728647
10,Reno Stark II,03122020691,54667564697436367,-122.434535,37.775113
11,Beatrix Bartoletti-Ritchie,622-468-1907x672,210059813390825814,-122.441895,37.729826
12,Marita Roob,(732)118-4440x189,180065388683094719,-122.419123,37.786126
13,Alisha Ward,(975)117-1079x481,180050143974274935,-122.425321,37.776617
14,Mrs. Jacki Harber MD,355.306.8476x21738,3717930623047650,-122.463957,37.730326
15,Thea Nienow,(541)697-7413,4091289587741611,-122.434117,37.787726
16,Dr. Zelda Zboncak,(460)497-4907x70084,4274127106217532,-122.419068,37.756335
17,Luetta Dare,1-783-155-0849x3507,4524607864842173,-122.426659,37.779491
18,Ozell Smith MD,+41(5)9279493852,869903584597045244,-122.485113,37.770033
19,Durwood Schroeder-Gislason,1-136-388-0327x42911,3033789818562089,-122.466778,37.738384
20,Mr. Clovis Mraz,1-204-620-1109,3417014613690793,-122.405612,37.743672
21,Blanchard Heathcote,1-966-312-5345x08072,52752700429486660,-122.406372,37.766506
22,Sunshine Lockman,353.050.0242x374,4471089396237912,-122.441245,37.760831
23,Percy O'Reilly,(283)676-3973,6011098688085655996,-122.458793,37.742868
24,Mr. Little Beahan,378-845-4072,3528521545385427731,-122.484554,37.747043
25,Aurilla Renner-Pacocha,+45(3)6949910608,4071345038394337,-122.449976,37.759691
26,Angus Kreiger I,955-169-9125x613,4517787674076557,-122.410912,37.747877
27,Toivo Leannon-Schaefer,(668)732-5087,869997431895327030,-122.453592,37.744629
28,Mikal Ankunding DDS,03366610078,3734002836266557,-122.400581,37.733527
29,Link Graham-Koch,389.956.1233x61432,180071824710581536,-122.455048,37.758205
30,Yamilet Miller MD,+52(5)0075925421,6011023967138018653,-122.463461,37.748244
31,Mr. Edwardo McCullough,1-143-879-9695x018,4161905992947874,-122.473877,37.727815
32,Miss Osa Stamm,750.096.6145x9174,4123206737504,-122.437903,37.7672
33,Taja Labadie DVM,07301129047,4719082883476,-122.420184,37.758155
34,Dr. Jacklyn Williamson DVM,1-917-112-7237x190,4074956475445189,-122.399136,37.750065
35,Tasia Gutmann-Larson,123.270.0809x1799,3158161151801734191,-122.456735,37.752657
36,Dr. Ebert Vandervort Jr.,882.810.1887x1050,676369100247340,-122.46972,37.780057
37,Ebba Grant,679.708.6912x4081,210019764240071654,-122.436401,37.772573
38,Shasta Legros,(037)770-7672x039,6011009604865077812,-122.448198,37.732567
39,Mr. Mateo Bashirian,+65(9)9772023105,3528584918792186253,-122.421703,37.74057
40,Ms. Marybelle VonRueden,718.896.2719x678,3020896005849915,-122.46534,37.763619
41,Corinna Sanford,1-206-878-9098,4917445956402142,-122.476967,37.754455
42,Darian Rosenbaum,1-783-410-2174x036,4054454336238,-122.432863,37.744906
43,Manley Hansen-Reichert,1-457-371-0204x9151,561212623245805,-122.441058,37.772724
44,Dr. Verne Denesik,399.466.5066,210097763058512580,-122.409518,37.742195
45,Kelsey Schulist,1-483-691-6109,4223766468575599,-122.452275,37.769107
46,Mrs. Ivory Beatty MD,09611470974,869923188869750766,-122.420495,37.767605
47,Rosann Corwin,355-219-6538x855,4671636729970,-122.423631,37.7539
48,Derrek Runolfsson,+06(2)4346908423,869955505740924131,-122.448323,37.770784
49,Aida Zboncak DVM,09432819606,6011151849962773252,-122.482857,37.73432
50,Elliott Von IV,907.808.9498x114,3452752902941767,-122.41342,37.750992
51,Len Sporer,02963948997,3337383797228685721,-122.484615,37.753304
52,Miss Risa O'Keefe,884.411.7709x03882,3021874964053091,-122.482185,37.757649
53,Mrs. Nicolle Schuster,1-644-119-0448x624,4399380720637,-122.481933,37.774436
54,Lynn Stehr,08381838193,4884559497106183,-122.412937,37.729606
55,Mrs. Sophronia Auer,1-434-368-7466x5736,3053078569679015,-122.460245,37.782683
56,Rahn Adams,969-080-5472x296,3728916619968550,-122.398751,37.787049
57,Mattye Dicki,+74(2)5398706709,4133688956274,-122.457023,37.756446
58,Ronda Kub,(321)204-4355,3528955679497699641,-122.422208,37.73812
59,Kunta Trantow,1-273-266-8823x4638,3701372312188834,-122.48133,37.751979
60,Hardin Kihn,(745)286-0370x12324,6011990288022388089,-122.414325,37.738611
61,Mr. Darcy Gusikowski MD,776-256-6674x60971,54743281356004620,-122.476231,37.742592
